     1	95.56
     2	95.48
     3	95.53
     4	95.54
     5	95.52
     6	95.49
     7	95.50
     8	95.53
     9	95.53
    10	95.52
    11	95.53
    12	95.52
    13	95.53
    14	95.50
    15	95.50
    16	95.54
    17	95.49
    18	95.54
    19	95.54
    20	95.52
    21	95.51
    22	95.59
    23	95.52
    24	95.56
    25	95.53
    26	95.57
    27	95.53
    28	95.54
    29	95.48
    30	95.55
    31	95.50
    32	95.52
    33	95.50
    34	95.55
    35	95.51
    36	95.53
    37	95.47
    38	95.54
    39	95.52
    40	95.52
    41	95.53
    42	95.48
    43	95.55
    44	95.55
    45	95.51
    46	95.52
    47	95.53
    48	95.57
    49	95.56
    50	95.61
    51	95.56
    52	95.51
    53	95.53
    54	95.57
    55	95.52
    56	95.56
    57	95.58
    58	95.53
    59	95.52
    60	95.56
    61	95.50
    62	95.49
    63	95.55
    64	95.50
    65	95.50
    66	95.55
    67	95.53
    68	95.52
    69	95.51
    70	95.58
    71	95.55
    72	95.51
    73	95.50
    74	95.53
    75	95.53
    76	95.56
    77	95.51
    78	95.59
    79	95.56
    80	95.53
    81	95.51
    82	95.55
    83	95.51
    84	95.54
    85	95.53
    86	95.51
    87	95.53
    88	95.50
    89	95.55
    90	95.53
    91	95.50
    92	95.53
    93	95.53
    94	95.55
    95	95.52
    96	95.52
    97	95.55
    98	95.50
    99	95.53
   100	95.56
   101	95.56
   102	95.55
   103	95.50
   104	95.55
   105	95.53
   106	95.56
   107	95.55
   108	95.51
   109	95.52
   110	95.55
   111	95.54
   112	95.53
   113	95.58
   114	95.56
   115	95.50
   116	95.50
   117	95.55
   118	95.52
   119	95.48
   120	95.54
   121	95.55
   122	95.55
   123	95.53
   124	95.49
   125	95.53
   126	95.56
   127	95.53
   128	95.56
   129	95.53
   130	95.51
   131	95.48
   132	95.53
   133	95.50
   134	95.52
   135	95.58
   136	95.49
   137	95.55
   138	95.51
   139	95.56
   140	95.53
   141	95.48
   142	95.53
   143	95.54
   144	95.53
   145	95.53
   146	95.56
   147	95.51
   148	95.48
   149	95.53
   150	95.54
   151	95.55
   152	95.51
   153	95.56
   154	95.55
   155	95.51
   156	95.54
